,components,feed,negative leach,positive leach
0,Ni,0.0,0.0,0.0
1,Fe,0.0,0.0,0.0
2,La,0.0,0.0,0.0
3,Ce,0.0,0.0,0.0
4,Pr,0.0,0.0,0.0
5,Nd,0.0,0.0,0.0
6,Co,0.0,0.0,0.0
7,Mn,0.0,0.0,0.0
8,Al,0.0,0.0,0.0
9,KOH,0.0,0.0,0.0
10,H2O,17.473477893296764,0.0,0.0
11,Additives,0.0,0.0,0.0
12,PP,0.0,0.0,0.0
13,Ni(OH)2,0.0,0.0,0.0
14,HCl,0.0,0.0,0.0
15,NaOH,0.0,0.0,0.0
16,NaOCl,0.0,0.0,0.0
17,NaCl,0.0,0.0,0.0
18,KCl,0.0,0.0,0.0
19,NiCl2,0.0,0.0,0.0
20,H2,0.0,0.0,0.0
21,O2,0.0,0.0,0.0
22,Cl2,0.0,0.0,0.0
23,LaCl3,204.03315528039738,0.0,0.0
24,CeCl3,12.665258349985725,0.0,0.0
25,PrCl3,88.44232488822652,0.0,0.0
26,NdCl3,9.381863560732112,0.0,0.0
27,AlCl3,0.0,0.0,0.0
28,CoCl2,0.0,0.0,0.0
29,MnCl2,0.0,0.0,0.0
30,FeCl2,0.0,0.0,0.0
31,La(OH)3,0.0,0.0,0.0
32,Ce(OH)3,0.0,0.0,0.0
33,Pr(OH)3,0.0,0.0,0.0
34,Nd(OH)3,0.0,0.0,0.0
35,Al(OH)3,0.0,0.0,0.0
36,Co(OH)2,0.0,0.0,0.0
37,Mn(OH)2,0.0,0.0,0.0
38,Fe(OH)2,0.0,0.0,0.0
39,PC88A,0.0,0.0,0.0
40,Dodecane,0.0,0.0,0.0
